image_path,class_name,source_image_id,perceptual_group_id,review_id,split,source_question,source_answer
traffic512final/img_0049.jpg,filling_station,img_0049.jpg,group_0049,V2-0002,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0063.jpg,filling_station,img_0063.jpg,group_0063,V2-0003,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0096.jpg,filling_station,img_0096.jpg,group_0096,V2-0004,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0098.jpg,filling_station,img_0098.jpg,group_0098,V2-0005,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0496.jpg,filling_station,img_0496.jpg,group_0430,V2-0008,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0530.jpg,filling_station,img_0530.jpg,group_0464,V2-0010,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0588.jpg,filling_station,img_0588.jpg,group_0522,V2-0012,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0785.jpg,filling_station,img_0785.jpg,group_0708,V2-0013,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0795.jpg,filling_station,img_0795.jpg,group_0718,V2-0014,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0918.jpg,filling_station,img_0918.jpg,group_0838,V2-0016,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0919.jpg,filling_station,img_0919.jpg,group_0839,V2-0017,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0920.jpg,filling_station,img_0920.jpg,group_0840,V2-0018,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0937.jpg,filling_station,img_0937.jpg,group_0857,V2-0019,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_0988.jpg,filling_station,img_0988.jpg,group_0908,V2-0020,train,What does this traffic sign indicate?,Petrol pump
traffic512final/img_1061.jpg,filling_station,img_1061.jpg,group_0980,V2-0021,train,What does this traffic sign indicate?,Fuel
traffic512final/img_0085.jpg,gap_in_median,img_0085.jpg,group_0085,V2-0023,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0622.jpg,gap_in_median,img_0622.jpg,group_0556,V2-0025,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0701.jpg,gap_in_median,img_0701.jpg,group_0635,V2-0027,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0791.jpg,gap_in_median,img_0791.jpg,group_0714,V2-0028,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0792.jpg,gap_in_median,img_0792.jpg,group_0715,V2-0029,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0793.jpg,gap_in_median,img_0793.jpg,group_0716,V2-0030,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0794.jpg,gap_in_median,img_0794.jpg,group_0717,V2-0031,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0948.jpg,gap_in_median,img_0948.jpg,group_0868,V2-0032,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0949.jpg,gap_in_median,img_0949.jpg,group_0869,V2-0033,train,What does this traffic sign indicate?,Gap in median
traffic512final/img_0078.jpg,give_way,img_0078.jpg,group_0078,V2-0035,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0079.jpg,give_way,img_0079.jpg,group_0079,V2-0036,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0174.jpg,give_way,img_0174.jpg,group_0174,V2-0037,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0370.jpg,give_way,img_0370.jpg,group_0360,V2-0039,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0395.jpg,give_way,img_0395.jpg,group_0360,V2-0040,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0503.jpg,give_way,img_0503.jpg,group_0437,V2-0041,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0667.jpg,give_way,img_0667.jpg,group_0601,V2-0045,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0748.jpg,give_way,img_0748.jpg,group_0682,V2-0047,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0762.jpg,give_way,img_0762.jpg,group_0689,V2-0048,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0763.jpg,give_way,img_0763.jpg,group_0682,V2-0049,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_0764.jpg,give_way,img_0764.jpg,group_0690,V2-0050,train,What does this traffic sign indicate?,Give way to traffic on major road
traffic512final/img_1069.jpg,give_way,img_1069.jpg,group_0988,V2-0055,train,What does this traffic sign indicate?,Give way to traffic on major road
